BTCUSDT +0,Ci05_2,30m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 13:19:04
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,BaseExitLevel,MaxHoldingBars,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
10,9,26,52,50,200,20,361,332,52.09%,2935681157,26.98%,10882.4877
END

BTCUSDT +0,Ci05,30m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 13:19:18
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
10,9,26,52,-50,100,275,279,49.64%,4570583,34.85%,13.1134
10,9,26,52,-50,150,279,266,51.19%,5446129,39.69%,13.7211
10,9,26,52,-50,200,270,263,50.66%,10892097,28.71%,37.9336
10,9,26,52,-25,100,298,302,49.67%,6529526,30.11%,21.6860
10,9,26,52,-25,150,303,284,51.62%,8484458,30.90%,27.4560
10,9,26,52,-25,200,296,273,52.02%,21185630,27.43%,77.2418
10,9,26,52,0,100,328,326,50.15%,9748000,39.13%,24.9125
10,9,26,52,0,150,322,308,51.11%,12640337,38.89%,32.5003
10,9,26,52,0,200,311,298,51.07%,32309336,37.46%,86.2414
10,9,26,52,25,100,355,362,49.51%,13782760,35.22%,39.1366
10,9,26,52,25,150,356,329,51.97%,20205913,36.42%,55.4771
10,9,26,52,25,200,342,316,51.98%,55114432,32.94%,167.3275
10,9,26,52,50,100,404,411,49.57%,17657689,29.65%,59.5535
10,9,26,52,50,150,412,360,53.37%,43120169,33.26%,129.6543
10,9,26,52,50,200,394,345,53.32%,193498562,26.17%,739.4350
20,9,26,52,-50,100,103,86,54.50%,2214247,32.53%,6.8075
20,9,26,52,-50,150,103,85,54.79%,3004760,31.24%,9.6192
20,9,26,52,-50,200,102,85,54.55%,3318979,31.48%,10.5421
20,9,26,52,-25,100,122,136,47.29%,2221943,42.68%,5.2065
20,9,26,52,-25,150,123,133,48.05%,3049691,41.54%,7.3422
20,9,26,52,-25,200,121,133,47.64%,2709903,41.28%,6.5654
20,9,26,52,0,100,164,184,47.13%,4074967,41.73%,9.7639
20,9,26,52,0,150,171,174,49.57%,6798196,30.99%,21.9379
20,9,26,52,0,200,168,174,49.12%,4254639,38.78%,10.9700
20,9,26,52,25,100,225,232,49.23%,8579224,41.13%,20.8594
20,9,26,52,25,150,234,214,52.23%,19327008,27.09%,71.3526
20,9,26,52,25,200,230,210,52.27%,13624958,24.24%,56.2097
20,9,26,52,50,100,300,293,50.59%,13804112,32.90%,41.9585
20,9,26,52,50,150,309,263,54.02%,25703436,27.87%,92.2244
20,9,26,52,50,200,298,261,53.31%,21615827,28.62%,75.5157
30,9,26,52,-50,100,26,27,49.06%,1336625,26.20%,5.1007
30,9,26,52,-50,150,27,26,50.94%,1313037,24.10%,5.4473
30,9,26,52,-50,200,27,26,50.94%,1259312,24.63%,5.1122
30,9,26,52,-25,100,61,60,50.41%,2690453,18.18%,14.8000
30,9,26,52,-25,150,63,58,52.07%,2109360,18.24%,11.5629
