CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
5,9,26,52,-50,0,278,219,55.94%,398411739,18.67%,2133.8256
5,9,26,52,-50,50,262,215,54.93%,109493155,18.63%,587.8248
5,9,26,52,-50,100,282,168,62.67%,33202680,20.91%,158.8111
5,9,26,52,-50,150,265,132,66.75%,251347748,18.05%,1392.3672
5,9,26,52,-50,200,214,120,64.07%,8840556215,15.21%,58134.3005
5,9,26,52,-25,0,283,243,53.80%,426261331,16.80%,2537.1906
5,9,26,52,-25,50,271,234,53.66%,102658410,20.78%,494.0355
5,9,26,52,-25,100,286,186,60.59%,25969240,28.62%,90.7482
5,9,26,52,-25,150,272,136,66.67%,384849272,20.91%,1840.8810
5,9,26,52,-25,200,215,123,63.61%,15832124539,16.42%,96411.5442
5,9,26,52,0,0,291,266,52.24%,428022546,16.47%,2598.0134
5,9,26,52,0,50,275,257,51.69%,93348521,18.72%,498.7247
5,9,26,52,0,100,289,205,58.50%,26156365,28.06%,93.2025
5,9,26,52,0,150,275,144,65.63%,432629013,22.33%,1937.3483
5,9,26,52,0,200,214,125,63.13%,13786665030,17.65%,78120.2430
5,9,26,52,25,0,286,271,51.35%,708543957,18.65%,3798.8744
5,9,26,52,25,50,284,286,49.82%,170788513,24.30%,702.8273
5,9,26,52,25,100,299,218,57.83%,44401285,23.42%,189.5661
5,9,26,52,25,150,282,143,66.35%,753856998,18.53%,4067.4320
5,9,26,52,25,200,221,121,64.62%,43290456640,17.83%,242760.1948
5,9,26,52,50,0,287,270,51.53%,1149575958,19.42%,5918.8199
5,9,26,52,50,50,312,335,48.22%,191047653,21.96%,870.0197
5,9,26,52,50,100,323,255,55.88%,54156862,32.56%,166.3426
5,9,26,52,50,150,304,155,66.23%,1504875643,20.17%,7461.9454
5,9,26,52,50,200,222,121,64.72%,97227568199,17.88%,543695.3210
